Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
533,3,0,0,13,20,58,0,0,1,Win
534,0,0,1,25,37,65,85,0,0,Draw
535,0,0,0,20,32,0,87,1,0,Loss
536,2,0,0,38,15,85,0,0,1,Win
537,1,0,0,23,19,57,49,0,1,Loss
538,0,0,0,19,24,46,36,0,0,Draw
539,1,0,0,39,23,76,37,0,1,Win
540,4,0,0,18,27,55,0,0,1,Win
541,0,0,0,20,26,42,65,1,0,Loss
542,0,0,0,21,16,39,58,0,0,Draw
543,1,0,0,22,22,40,43,0,1,Win
544,-1,0,0,23,25,37,40,1,0,Loss
545,0,0,0,35,20,87,42,0,0,Win
546,-1,0,0,22,42,43,76,1,0,Loss
547,0,0,0,32,23,83,57,0,0,Win
548,1,0,0,38,42,87,85,0,1,Win
549,2,0,0,38,18,60,0,0,1,Win
550,0,0,0,35,23,83,37,0,0,Win
551,2,0,0,32,27,65,0,0,1,Win
552,1,0,0,20,22,42,39,0,1,Draw
553,0,0,0,23,26,39,36,0,0,Win
554,-2,1,0,21,47,0,87,1,0,Loss
555,-1,0,0,24,44,57,60,1,0,Loss
556,3,0,0,21,21,46,0,0,1,Win
557,0,0,0,46,35,76,65,0,0,Draw
558,0,0,0,26,26,49,36,0,1,Win
559,0,0,0,20,23,46,57,1,0,Draw
560,0,0,0,18,23,58,43,0,0,Win
561,0,0,0,23,44,37,87,1,0,Loss
562,0,0,0,42,21,85,0,1,0,Win
563,0,0,0,22,31,55,40,0,0,Win
564,1,0,0,23,41,39,60,0,1,Loss
565,1,0,0,18,21,0,42,0,1,Win
566,-1,0,0,27,38,0,83,1,0,Loss
567,1,0,0,41,31,87,40,0,1,Win
568,0,0,0,28,20,40,46,0,0,Win
569,0,0,0,45,21,85,42,0,0,Win
570,1,0,0,25,23,55,43,0,1,Win
571,-1,0,0,31,47,40,76,1,0,Draw
